State and City Names
satara
nidadavole
umaria
mangaldoi
mudabidri
yevla
rapar
tiptur
arakkonam
mangrol
mangaluru
ranavav
baharampur
meerut
khair
chennai
shahabad
modinagar
sahaswan
jammu
guntakal
dhamtari
savanur
mahidpur
mathura
puthuppally
kochi
jagtial
muktsar
rahatgarh
patiala
ahmedabad
jalpaiguri
reengus
charkhi dadri
motihari
lalgudi
sidhpur
osmanabad
sadri
tirupathur
port blair
vedaranyam
vikarabad
todabhim
phagwara
pandurban agglomeration
bharuch
bathinda
mandsaur
tiruchengode
sidhi
achhnera
kanpur
purqurban agglomerationzi
murwara (katni)
raiganj
chilakaluripet
tiruchirappalli
piriyapatna
ujjain
mahbubnagar
achalpur
nongstoin
vita
panagudi
sidlaghatta
mokokchung
sonipat
loni
jind
fazilka
sitapur
pithoragarh
fatehpur sikri
sujangarh
sunabeda
powayan
giridih
pauni
barbil
jamnagar
shahpur
p.n.patti
hardwar
umred
bahraich
navsari
chandigarh
meghalaya
pithampur
muzaffarpur
rajapalayam
rajura
farooqnagar
kayamkulam
wani
nepanagar
nagapattinam
afzalpur
karur
palampur
attingal
batala
sedam
ladnu
malpura
palladam
padra
mangrulpir
partur
nahan
ladwa
amalapuram
najibabad
maihar
manglaur
unjha
perambalur
hugli-chinsurah
chalakudy
shahdol
siliguri
shamli
pandharpur
srikakulam
chittur-thathamangalam
karimganj
thiruthuraipoondi
sagwara
gokak
ichalkaranji
vapi
marhaura
patratu
dharmavaram
tharangambadi
pali
anand
mysore
titlagarh
sawai madhopur
andaman and nicobar islands
thirumangalam
nuzvid
tiruppur
akot
washim
sarsod
samastipur
kathurban agglomeration
sanawad
nandura
peddapuram
lakhisarai
dehri-on-sone
narasapuram
pallapatti
siruguppa
rudauli
maharashtra
dibrugarh
saundatti-yellamma
bhawanipatna
mavelikkara
pukhrayan
diphu
ponnani
peravurani
allahabad
jhumri tilaiya
mankachar
namakkal
nakodar
salur
niwai
nirmal
tirur
gohana
sahjanwa
maner
nellikuppam
hyderabad
rupnagar
sankari
paramakudi
pauri
chittoor
bankura
nagaland
sattenapalle
adoor
rewari
orai
imphal
nellore
bapatla
mahesana
panchkula
tura
dehradun
o' valley
kozhikode
deoghar
etawah
bhiwani
medinipur
wadi
robertson pet
ujhani
vinukonda
mapusa
rudrapur
pehowa
mandvi
eluru
manasa
miryalaguda
vidisha
mahasamund
munger
ajmer
malkapur
kerala
rameshwaram
gopalganj
dhule
gooty
palai
udaipur
alwar
mudalagi
rajsamand
yerraguntla
malegaon
umarga
warhapur
mansa
hajipur
saunda
warud
tiruvethipuram
narsinghgarh
mundargi
gurdaspur
sanchore
tindivanam
palwal
nabadwip
kurnool
deesa
ganjbasoda
tadpatri
tiruttani
kagaznagar
amritsar
samdhan
sendhwa
muvattupuzha
nilambur
english bazar
shrigonda
mahe
kothagudem
mungeli
gwalior
agra
kancheepuram
indore
punjab
valsad
shirdi
bagaha
manipur
macherla
barmer
hoshiarpur
durg
palghar
mizoram
tohana
uravakonda
araria
tuensang
sirsi
morvi
uttar pradesh
tekkalakote
sirsa
parlakhemundi
ranaghat
kunnamkulam
bhimavaram
bokaro steel city
sangli
palitana
taliparamba
kovvur
rohtak
sankarankovil
yemmiganur
modasa
rafiganj
raghunathpur
shillong
faridabad
pakaur
mahalingapura
nelamangala
ramnagar
noida
gudivada
siddipet
perumbavoor
delhi
khanna
mandideep
tiruvannamalai
mahemdabad
barnala
tikamgarh
veraval
sangamner
vijapur
ramgarh
raipur
purnia
tirukkoyilur
nathdwara
supaul
bettiah
nagpur
arwal
saharanpur
neemuch
mohali
lunawada
ahmednagar
raghunathganj
vellore
malur
lingsugur
sheikhpura
narkhed
forbesganj
vellakoil
madanapalle
jamui
vaikom
nanjikottai
goalpara
agartala
talegaon dabhade
ramagundam
sopore
sakaleshapura
rau
lohardaga
kottayam
sakti
mandi dabwali
vatakara
sundargarh
sangareddy
puranpur
pasan
sindhnur
valparai
ankleshwar
sandi
marigaon
mul
proddatur
nadiad
shahade
sasaram
warora
hindupur
sheoganj
uran islampur
jharkhand
thammampatti
natham
haldwani-cum-kathgodam
karnal
porsa
mandla
rayachoti
mandapeta
palwancha
gaya
naugawan sadat
panruti
kadiri
jalandhar cantt.
alipurdurban agglomerationr
lucknow
dhuri
faridkot
anjar
sambhal
una
keshod
unnamalaikadai
pathanamthitta
masaurhi
panna
sundarnagar
venkatagiri
tanuku
mainaguri
hubli-dharwad
balurghat
rajasthan
petlad
rampurhat
phulabani
malavalli
rayadurg
shiggaon
kashipur
panvel
revelganj
paradip
upleta
sholavandan
periyakulam
memari
chhapra
sivagiri
asansol
mahnar bazar
gangarampur
gumia
narsipatnam
tharad
ranibennur
tharamangalam
bhadrak
khowai
mahendragarh
raigarh
naidupet
bengaluru
patna
puri
jagdalpur
nabarangapur
nagercoil
paithan
sivakasi
erode
nawabganj
sainthia
thiruvalla
arsikere
"shahabad, hardoi"
losal
jorhat
pedana
safidon
panamattom
baramula
aurangabad
katihar
vadipatti
nainital
solapur
machilipatnam
tehri
rajgarh (churu)
manavadar
sirsaganj
tonk
udhagamandalam
reoti
karjat
udupi
thiruvallur
sardhana
korba
thangadh
madurai
aruppukkottai
karnataka
shahganj
lathi
pudukkottai
jamalpur
bhadrachalam
vizianagaram
manihari
loha
kishanganj
yavatmal
guwahati
sohna
sultanganj
nainpur
murshidabad
tirukalukundram
tumsar
sheopur
jaipur
talcher
madhugiri
belagavi
goa
tarakeswar
robertsganj
wardha
rampur maniharan
phusro
oddanchatram
murtijapur
nawanshahr
kolar
purna
rajnandgaon
sagara
phalodi
tuljapur
renukoot
warisaliganj
"shahabad, rampur"
manendragarh
jatani
rajampet
seoni
tirupati
talode
thana bhawan
porbandar
phulpur
pindwara
virudhachalam
tiruvuru
kandukur
sadalagi
pathardi
sasvad
bhubaneswar
karaikal
rabkavi banhatti
kalyan-dombivali
chandausi
thirupuvanam
azamgarh
himachal pradesh
narwana
gurgaon
sitamarhi
amroha
moradabad
malappuram
gujarat
santipur
pandharkaoda
shikaripur
jodhpur
tamluk
balaghat
nowrozabad (khodargama)
rasipuram
arrah
mukerian
sabalgarh
bharatpur
bhagalpur
cherthala
patan
merta city
latur
viswanatham
satna
balangir
panagar
ranipet
sahaspur
pattukkottai
ratia
chatra
pondicherry
chhattisgarh
kendujhar
shahpura
buxar
zaidpur
rahuri
jalandhar
shujalpur
tirora
madhepura
rath
srisailam project (right flank colony) township
palacole
karwar
bhopal
narnaul
rajgarh
ratangarh
tarikere
malaj khand
rania
solan
tarana
shivpuri
brahmapur
rajgir
adilabad
pilkhuwa
hisar
pusad
pappinisseri
obra
srinagar
purwa
kamareddy
ratnagiri
pune
manwath
amravati
bhatapara
pollachi
puducherry
mhow cantonment
nandivaram-guduvancheri
kharagpur
kakinada
nawapur
madhya pradesh
shajapur
kyathampalle
bikaner
bheemunipatnam
arunachal pradesh
puliyankudi
naihati
uchgaon
