,Institution Names,City,State,Score,Rank
10915,vetri vinayaha college of engineering and technology,,,,
10916,g m e r s medical college,,,,
10917,sree ramchandra arts & science college,,,,
10918,chandra mauli institute of management sciences and technology,,,,
10919,k.p. college of management,,,,
10920,jawahar lal nehru smriti,,,,
10921,sharma college of business & technology,,,,
10922,shri sai nath mahila shikshan sansthan,,,,
10923,institute of applied science & humanities,,,,
10924,shri bkpsm post graduate college of med,,,,
10925,b.s. college,,,,
10926,c496 sri saibaba degree college,,,,
10927,maharshi institute of education,,,,
10928,b.s.n. govt college,,,,
10929,shri devaraj sanskrit mahavidyalaya,,,,
10930,s.r.d.m.n.panchayat college,,,,
10931,management & commerce institute of globle synergy,,,,
10932,thiruvalluvar college of education for women,,,,
10933,viswa bharathi college of education,,,,
10934,astaranga college,,,,
10935,711 dr. j.k. patel institute of management,,,,
10936,ushatai aashtankar college,,,,
10937,sri rama institute of computer technology,,,,
10938,sri ganga memorial girls degree college,,,,
10939,jyotish,,,,
10940,institute of technology and management,,,,
10941,trr college of engineering,,,,
10942,bms college of engineering,,,,
10943,mythri college of nursing,,,,
10944,extol institute of journalism,,,,
10945,mega womens degree college,,,,
10946,kawa institute reasi,,,,
10947,subashkathi arts and science college for women,,,,
10948,smt.margshree kanya mahavidyalaya pereth,,,,
10949,govt degree college,,,,
10950,vidyaa vikas college of engineering and technology,,,,
10951,advent institute of management studies aishwarya institute of management & information technology,,,,
10952,shakya computer,,,,
10953,sir madan lal institute of education,,,,
10954,yadavrao tasgaonkar institute of engineering technology chandhai near bhivpuri road station tal. karjat dist.raigad,,,,
10955,shanti devi memorial mahila degree college,,,,
10956,vijaya college,,,,
10957,amala college of education,,,,
10958,auden technology & management academy,,,,
10959,marathwada inst. of tech. engg. college dhamera chola,,,,
10960,vipra art. & commerce college,,,,
10961,real institute of professional studies,,,,
10962,231 n.r.vekaria institute of pharmacy,,,,
10963,shree sankaracharya univeristy of sanskrit,,,,
10964,vasantrao naik adhyapak mahavidyalaya,,,,
10965,krishna sai college,,,,
10966,jawahar bharathi degree college,,,,
10967,krishnarpit institute of pharmacy,,,,
10968,sri balaji college of engineering & technology,,,,
10969,netaji nagar college,,,,
10970,maya institute of technology & management,,,,
10971,sri shankar shiv mahavidyalaya prata pur tundla,,,,
10972,durga charan chilika college,,,,
10973,vignana sudha degree college chittoor,,,,
10974,future institute of management studies,,,,
10975,vijaya college of nursing,,,,
10976,govt. college of yoga education & health,,,,
10977,stiriling college,,,,
10978,kadambini women's college of education,,,,
10979,sama parveen girls degree college,,,,
10980,sir j. j. college of architechture,,,,
10981,meenakshi ramasamy arts and science college,,,,
10982,s.c.m.s. school of engineering technology,,,,
10983,krishnabai vasudeva shenoy memorial college,,,,
10984,s.s. patil college of agriculture business management,,,,
10985,bapu college of education,,,,
10986,kalaniketan college of education,,,,
10987,shri d.m. patel college of physiotherapy,,,,
10988,c.r. d.a.v. girls college of education,,,,
10989,smt. k. d. g. d. mittal kanya mahavidyalaya,,,,
10990,behror college,,,,
10991,h.j.doshi info.tech. institute -jamnagar,,,,
10992,himalayan college,,,,
10993,metas college of b.b.a & b.c.a bariyatu road ranchi,,,,
10994,stallian college for engineering and technology,,,,
10995,vidya academy of science & technology,,,,
10996,k.b.a. mahavidyalaya barnahal mainpuri,,,,
10997,shri lal devi annapurna,,,,
10998,dr. d.y.patil pratishthans institute of hotel management and catering technology,,,,
10999,d.c.pavate education college,,,,
11000,mahila p.g. college,,,,
11001,al-mighty first grade evening college,,,,
11002,sri surya college of nursing,,,,
11003,sri sai education college,,,,
11004,pt.j.l.n.g.c,,,,
11005,nimra college of engineering & technology,,,,
11006,revathi medical center,,,,
11007,nirmal mahavidhyalaya,,,,
11008,sitarama degree college,,,,
11009,ashoka college of education,,,,
11010,sri venkata sai college of nursing,,,,
11011,kakatiya institute of technolgy & science for women,,,,
11012,shiv mahavidyalaya,,,,
11013,mallabhum institute of technology 158,,,,
11014,aligarh college of nurshing and asian hospital,,,,
11015,sb computer,,,,
11016,r.k.s. college,,,,
11017,r.s.s.sc. college,,,,
11018,svm college of bba,,,,
11019,ch. harchand singh mahavidyalya gotni,,,,
11020,n k varadkar college of arts & v.r.belose college of commerce at kalkai kond dapoli dist-ratnagiri 415 712,,,,
11021,gujarat adani institute of medical science,,,,
11022,sohra government college,,,,
11023,markham college of commerce,,,,
11024,sri vari college of education,,,,
11025,pashupati institute of studies gulaothi-massorie road,,,,
11026,sri sreenivasa degree college,,,,
11027,srushti computer education multai,,,,
11028,""" swatantrya sainik shri kanhaiyalalji ramchandra innani mahavidyalaya""",,,,
11029,rajasthan mahila mahavidyalaya,,,,
11030,misrimal navajee munoth jain school of architecture,,,,
11031,sahyadri arts & commerce college,,,,
11032,aditya kiran college of applied studies,,,,
11033,medha college of engineering,,,,
11034,j.m.d.p.l.m. college,,,,
11035,kamala nehru college,,,,
11036,sun engineering college chandkhuri durg,,,,
11037,s.p.v.s.degree college,,,,
11038,maharaja harishchanda pg college,,,,
11039,smt. kamla ram udit mahavidyalaya,,,,
11040,saket m.g.m. college,,,,
11041,badruka degree college,,,,
11042,ramakrishna mission vivekananda educational and research institute,,,,
11043,naba barrackpore prafulla chandra college,,,,
11044,homi bhabha natioanal institute knowledge management group,,,,
11045,surya college of nursing,,,,
11046,silver jubilee govt. degree college,,,,
11047,sharda devi memorial degree college,,,,
11048,vishveshwarya technical campus faculty of degree engineering,,,,
11049,shri madhav mahavidyalaya,,,,
11050,dr. bhanuben mahendra nanavati college of home science,,,,
11051,dadhibaman college,,,,
11052,pravara rural education societys padmashri vitthalrao vikhe patil college of arts,,,,
11053,don bosco college of science and management,,,,
11054,thakur shobha singh govt college,,,,
11055,modinagar institute of technology,,,,
11056,govt. j.h.p.g. college,,,,
11057,mts. d. b. patel education trust's and smt. r.b. patel mahila pharmacy college,,,,
11058,bansal college of management,,,,
11059,dina institute of hotel management and business management,,,,
11060,durgapur b. ed. college,,,,
11061,vimal tormal podar college of management studies,,,,
11062,swami vivekananda arts &science college,,,,
11063,new vision global school of business,,,,
11064,jind institute of engineering & technology,,,,
11065,sri adhisankarar college of education,,,,
11066,sree sarvajna college of education,,,,
11067,urmila mahavidyalaya,,,,
11068,kasthurba college for women,,,,
11069,government arts & commerce college,,,,
11070,jai hind college,,,,
11071,career computer,,,,
11072,mahila kala vanijya mahavidyalaya,,,,
11073,sanskar college of management and computer application,,,,
11074,regional institute of management & technology jabalpur,,,,
11075,gandhian college of education,,,,
11076,panchsheel college of education,,,,
11077,shri raam tahal sanskrit mahavidyalaya,,,,
11078,krishna college of law vill.-kamalpur,,,,
11079,jauwad ali shah imambara girls p. g. college,,,,
11080,kawa institute vijaypur,,,,
11081,karma yogi degree college,,,,
11082,shri ram murti smarak college of engineering & technology,,,,
11083,st.xavier college of nursing,,,,
11084,national institute of technical teacher training & research sector-26,,,,
11085,veerabhadra degree college,,,,
11086,sri banka bihari mahavidhyalaya,,,,
11087,shevaroys college of arts and science,,,,
11088,h. r. shah mahila arts & commerce college,,,,
11089,shri rawatpura sarkar institute of pharmacy,,,,
11090,aristotle p.g.college,,,,
11091,saraswati devi nari gyansthali mahavidyalaya,,,,
11092,ramgarh college,,,,
11093,saveetha university,,,,
11094,shaheed bhagat singh college,,,,
11095,a.c.college,,,,
11096,vmr institue of technology & management sciences,,,,
11097,ch.basir khan mahavidyalaya harra,,,,
11098,vision computer education pipariya,,,,
11099,arya kanya degree college,,,,
11100,millenium academy of higher education,,,,
11101,sheth l. h. science college,,,,
11102,late narayansingh uike physical education college,,,,
11103,kalam institute of technology,,,,
11104,dr.mohan s diabetes specialities centre and dr.mohan s diabetes education academy,,,,
11105,institute of psychiatry & human behaviour bambolim,,,,
11106,svset's svs bba college,,,,
11107,kmp college of arts & science,,,,
11108,deccan edu. societys d.e.s. college of physio.,,,,
11109,naami college,,,,
11110,bapatla engineering college,,,,
11111,knk college of horticulture,,,,
11112,ajab narain harish chandra smarak mahavidyalaya,,,,
11113,appasaheb birnale college of education,,,,
11114,sri sunflower college of engineering & technology,,,,
11115,mewad tt college,,,,
11116,majalgaon arts,,,,
11117,babubhai b. avichal arts & commerce college,,,,
11118,c388 al-badar ect's college of education gulbarga,,,,
11119,devprayag institute of management,,,,
11120,poornima college of engineering,,,,
11121,regional college of engineering and management,,,,
11122,amar shahid kanchan singh mahavidyalaya,,,,
11123,thirumalai engineering college,,,,
11124,a. s. college,,,,
11125,darbar sanskrit pg college,,,,
11126,es subramaniam memorial college of arts and science,,,,
11127,m.j. college of i.t. bhilai,,,,
11128,sarada college,,,,
11129,dr. c.v ramana degree college,,,,
11130,the rajaas engineering colleges,,,,
11131,krishna college of sports & education,,,,
11132,shree pm patel college of law & human rights,,,,
11133,j.k. institute of management technology,,,,
11134,shri rajendra singh degree college,,,,
11135,sanskar institute of technology management,,,,
11136,seth chunilal amarchand bohra law college,,,,
11137,modern institute of teachers education,,,,
11138,pgt college,,,,
11139,mahi kala college,,,,
11140,tarapith college of b.ed.,,,,
11141,ellcom computer academy,,,,
11142,national college of management,,,,
11143,lakshay college of education,,,,
11144,mahendra pratap singh mahavidyalaya,,,,
11145,b.d.p.h.w. association sharanappa m.khed arts & commerce college indi.,,,,
11146,balaji institute of i.t & management,,,,
11147,jabalpur institute of information technology,,,,
11148,m.g.m. trusts nursing college,,,,
11149,bombay veterinary college,,,,
11150,keshava college of dance & music,,,,
11151,bahubali college of engineering,,,,
11152,skn sinhagad colleg of engineering korti tal pandharpur dist-solapur,,,,
11153,m. l. parmar charitable trust bca college,,,,
11154,govt. degree college kokernag,,,,
11155,mahatma gandhi college of science,,,,
11156,sri shridisairam degree college,,,,
11157,kaushalya devi women college korchi,,,,
11158,deep niketan mahavidyalaya,,,,
11159,parsandi devi college of law bilashpur,,,,
11160,r.n.college,,,,
11161,sri balaji b.sc mlt training college,,,,
11162,geeta adarsh college of education,,,,
11163,mahila arts college vijapur,,,,
11164,kolkata teacher's training college,,,,
11165,shri adarsh science college radhanpur,,,,
11166,dsm college,,,,
11167,sri saraswathi vidhyalaya degree college,,,,
11168,dr. modigunta raja reddy degree college 4-139,,,,
11169,gian jyoti girls college gurthari road sangat kalan,,,,
11170,spectrum institute of pharmaceutical science and research,,,,
11171,s.m.college,,,,
11172,harikinkar sanskrit mahavidyalaya,,,,
11173,dogra college of education,,,,
11174,shambhunath institute of engg and technology,,,,
11175,mahalakshmi college for girls,,,,
11176,sri sai balaji college of education,,,,
11177,malabar dental college,,,,
11178,shershah college,,,,
11179,gudha girls college,,,,
11180,revanath chaure college of inf. and tech.,,,,
11181,shri padamprabh digambar jain arts college,,,,
11182,ch. khajan singh mahavidyalaya,,,,
11183,bhairabi college,,,,
11184,govt. ayurved college.rewa,,,,
11185,fd public degree college,,,,
11186,jubilee mission medical college,,,,
11187,mansarover nursing college,,,,
11188,global institute of information technology,,,,
11189,mohini b. manwani girls degree college,,,,
11190,crc tt college,,,,
11191,jan nanak choudhary devi lal memorial institute of business management,,,,
11192,delhi institute of management & technology vill.kakra,,,,
11193,d.k.m. college for women,,,,
11194,foirtdm,,,,
11195,shayameshwar mahavidyalaya,,,,
11196,princenton degree college,,,,
11197,lal bahadur shastri arts and commerce college,,,,
11198,bhimavaram institute of engineering & technology,,,,
11199,global institute of technology,,,,
11200,vikram sarabhai b. ed. college,,,,
11201,dina education soceitys dina college,,,,
11202,seth ramswaroop govindi devi degree college,,,,
11203,shivbarat mahavidyalaya,,,,
11204,om ucch siksha sansthan,,,,
11205,aghore kamini prakash chandra mahavidyalaya,,,,
11206,bihari lal mahavi.,,,,
11207,st. john the baptist college of education,,,,
11208,holy family college of education for women,,,,
11209,lalitha degree & p.g. college,,,,
11210,mauli vidyapeeth's mahila kala mahavidyalaya,,,,
11211,pacific college of physiotherapy,,,,
11212,d.a.v. college amritsar,,,,
11213,shanti nikatam college of education,,,,
11214,v kaushalyayan women's college,,,,
11215,bara hindu rao hospital,,,,
11216,university college of engineering nagercoil,,,,
11217,mamata college of medical laboratory technology,,,,
11218,shri ram college of commerce,,,,
11219,gokaraju rangaraju institute of hotel management,,,,
11220,sgl college of nursing,,,,
11221,aryawart eduction college ruanwbhandh bhilai,,,,
11222,babu kamta prasad jain mahavidyalaya delhi road,,,,
11223,sathyasai b.ed. college,,,,
11224,r.d. college of education,,,,
11225,rashtrasant tukadoji maharaj nagpur university,,,,
11226,uttaranchal sanskrit university,,,,
11227,raja shri shivrai pratishthans maharashtra college of science,,,,
11228,rcc institute of information technology 117,,,,
11229,vinayaka mission's kirupananda variyar engineering college,,,,
11230,adharsha vidhya kendra college,,,,
11231,shivwati shivnandan shukla mahavidyalaya,,,,
11232,j.c.d.a.v.college,,,,
11233,ghanshyam binani academy of management sciences,,,,
11234,gurukul institute devbhog road gariyabandh,,,,
11235,icon commerce college,,,,
11236,vijaynath ramshekhar mishra degree college,,,,
11237,uma mahila shikshak prashikshan mahavi.,,,,
11238,sri vidyaniketan engineering college,,,,
11239,sheth m n law college patan,,,,
11240,ansupa college ofeducation &technology,,,,
11241,261 sigma institute of pharmacy,,,,
11242,tulas institute,,,,
11243,alagappa university evening college,,,,
11244,nuva college of enginneering and technology,,,,
11245,g.r. hospital,,,,
11246,vidya shikshan prakashak board's b ed college,,,,
11247,st. mary's group of institutions,,,,
11248,rajiv gandhi institute panna,,,,
11249,bihar agricultural college,,,,
11250,sri ahobila muth sanskrit college,,,,
11251,sri aurobindo institute of allied health & paramedical sciences,,,,
11252,mandar college,,,,
11253,bandari srinivas college of engineering & technology,,,,
11254,city college of arts & commerce,,,,
11255,redient college of professional studies,,,,
11256,shadan inst. of medical sciences college of nursing,,,,
11257,viswass college of nursing,,,,
11258,banaras institute of technology & management varanasi,,,,
11259,shri p.t science college,,,,
11260,vinayaka mission's college of nursing,,,,
11261,sarve dharam law college,,,,
11262,sree college of pharmacy,,,,
11263,chanakya institute of hotel management and catering technology,,,,
11264,vidyavahini vollege of education,,,,
11265,dr.david raja & dr.chandralekha college of education,,,,
11266,shankar reddy institute of pharmaceutical sciences,,,,
11267,ramkrishnamemo.b.ed.coll. bijabar,,,,
11268,dr. shusheela tiwari degree college,,,,
11269,shri radhakisan lakshminarayan toshniwal science college,,,,
11270,v.s.p.ms college of b.sc. nursing & research centre,,,,
11271,sree chaitanya institute of pharmaceutical sciences,,,,
11272,s.r. teachers training college,,,,
11273,quantum school of technology,,,,
11274,sri gnaneswari research & technological academy for women,,,,
11275,chadalawada venkata subbaiah college of engineering,,,,
11276,saurashtra university,,,,
11277,radhamadhab sanskrit college,,,,
11278,jiri college,,,,
11279,s.chattanathakarayalar college of pharmacy,,,,
11280,sri krishna geeta rastriy mahavidyalaya,,,,
11281,s.r.s first grade college,,,,
11282,k.m.l. vatsalya college,,,,
11283,vivekanand college of agri. business mgt. hiwara,,,,
11284,acropolis institute of management studies & research,,,,
11285,azad t.t. college,,,,
11286,brahmanand p.g. college,,,,
11287,dr.rajalakshmi college of education,,,,
11288,shri s.n. college,,,,
11289,akkamahadevi college of nursing,,,,
11290,agrasen college purani basti,,,,
11291,govt.naveen girls college,,,,
11292,g.m. law college,,,,
11293,alliance school of management chikkahagadc cross road chandarpur anekal main road banglore,,,,
11294,sarvajyan vidyapeethas smt siddamma basanagoudra patil arts college,,,,
11295,brajesh mahila shikshak prashikshan mahavi,,,,
11296,742 parul institute of engineering & technology-mba programme,,,,
11297,s s s s's college of business administration,,,,
11298,mahatma gandhi arts & science college,,,,
11299,innovative institute of law plat no. 6,,,,
11300,smt. dhanpata maurya smarak mahavidyalaya,,,,
11301,ydd government first grade college,,,,
11302,mahila sewa sadan degree college,,,,
11303,vidya sagar college for girls daulatpu dhuri,,,,
11304,vani degree college,,,,
11305,rajiv gandhi mahavidyalaya,,,,
11306,vivekanand college nara bhansoj mandir hasoud road raipur,,,,
11307,s.k. patel college of pharmaceutical education & research,,,,
11308,bharat shikshan prasarak mandals,,,,
11309,rayat and bahra institute of hotel management and catering technology,,,,
11310,chhatarpur computer institute,,,,
11311,rajgad institute of management research and development,,,,
11312,lokniketan mrs college ratanpur,,,,
11313,barpali college,,,,
11314,late kalpanath mahavidyalaya,,,,
11315,chathankulam ims,,,,
11316,sri b.r. darooru research centre,,,,
11317,g.g.g.s.d.college,,,,
11318,rawatpura sarkar intitute of professional studies,,,,
11319,anand institute of social work,,,,
11320,sri krishna verma mahavidyalaya,,,,
11321,govt . mahakoshal autonmous arts. & commerece college,,,,
11322,fes girls college,,,,
11323,dr. bhanu pratap singh mahavishyalya bakal pur road,,,,
11324,merit institute of business management & technology,,,,
11325,chandra shekhar shyam raji mahavidyalaya,,,,
11326,d.b.c law college,,,,
11327,asifia college of engineering & technology,,,,
11328,directorate of agricultural research,,,,
11329,agnel institute of technology and design,,,,
11330,charaibahi college,,,,
11331,payyanur,,,,
11332,degree goorumahisani iron college,,,,
11333,minakshee ramasami college of education,,,,
11334,nethaji institute of nursing sciences,,,,
11335,shri gandhi physical t.t. college,,,,
11336,d i patel institute of computer studies pgdca,,,,
11337,d.b. college,,,,
11338,girraj government college,,,,
11339,gurukula college of engineering for women,,,,
11340,shivalik hills college of education,,,,
11341,som-lalit institute of computer application,,,,
11342,sardar veerangouda patil mahila vidyapeth smt. manoramadevi jugal kishor somaniarts & commerce college for women vidya nagar,,,,
11343,supreme mahavidyalaya,,,,
11344,rvs school of business management,,,,
11345,yshoda mahavidyalaya,,,,
11346,guru nanak college,,,,
11347,hkbk degree college,,,,
11348,y.s.n.m.college,,,,
11349,s.l.t.n degree college,,,,
11350,neelkanthrao shinde arts commerce college,,,,
11351,b. p sulakhe commerce college barshi .413411 dist solapur maharashtra.,,,,
11352,kls gogte college of commerce,,,,
11353,jaya college of physiotherapy,,,,
11354,ku. mahesh singh j.s.s. mahavidyalaya,,,,
11355,lok mahavidyalaya,,,,
11356,kalpatharu college of education,,,,
11357,b.g.b.s. college for women,,,,
11358,mariyappa evening college,,,,
11359,late nirdhan patil vaghaye arts commerce and science college,,,,
11360,dhola mahavidyalaya,,,,
11361,nav samvat vidhi college,,,,
11362,sanjivnee mahavidhyalaya aktasha talera,,,,
11363,hans t t college,,,,
11364,west fort college of nursing,,,,
11365,guru ropan shikshan sansthan,,,,
11366,sr group of institutions college of pharmacy,,,,
11367,l.n.sahu mahavidyalaya,,,,
11368,swami vivekanand institute of computer science,,,,
11369,hs college,,,,
11370,shradchandrajee pawar college of agriculture,,,,
11371,yeshwant ayurvedic college,,,,
11372,gopinath singh mahila college,,,,
11373,s.r.skt.college,,,,
11374,munivenkata subba reddy college of education,,,,
11375,modern sanwaliya teachers training college chhoti sadri,,,,
11376,m.k.rai deep adarash balika mahavidyalaya,,,,
11377,d516shri aditya commerce degree college sindhanoor,,,,
11378,shree inst. of teachers training,,,,
11379,vikramaditya group of educational institute,,,,
11380,sunshine college of mandrella,,,,
11381,mansarowar college,,,,
11382,maharaja aggarsain college of information technology,,,,
11383,saha institute of nuclear physics,,,,
11384,sardar patel mahila b.ed. college,,,,
11385,s.v.k.p p.g college,,,,
11386,asha college of education,,,,
11387,c.m.b. college,,,,
11388,shri haradev college ballia,,,,
11389,aurora's school of business,,,,
11390,shanti uday college of science and technology,,,,
11391,bharti vidya mandir college of management education yamuna nagar thatipur,,,,
11392,shiv savitri mahavidyalaya,,,,
11393,renaissance institute of management studies,,,,
11394,pt. prannath kamla prasad,,,,
11395,dayanand academy of advance studies rishikesh,,,,
11396,ponkaliamman college of education,,,,
11397,dr.p.m.i.a.s.for teacher education,,,,
11398,jss dr. d verendra heggade institute of management studies & research vidyagiri,,,,
11399,m k institute of education & research,,,,
11400,nizam college of education,,,,
11401,sri kaveri first grade college,,,,
11402,c334 jawahar college of education yadgir,,,,
11403,lala lajpat rai college of pharmacy,,,,
11404,chandigarh college of technology,,,,
11405,st. josephs institute of hotel management and catering technology,,,,
11406,government degree & pg college for women,,,,
11407,david memorial institute of management,,,,
11408,s.b.r. college,,,,
11409,aadarsh art.& comm. college nai ganj mandi,,,,
11410,padmbhushan dr.krantiveer naganath anna naikwadi kala mahavidyalaya,,,,
11411,gurukul teachers' institute,,,,
11412,adithya institue of management & studies & resarch,,,,
11413,shri adarsh sanskrit mahavidyalaya,,,,
11414,d.k. govt. degree college for women,,,,
11415,maharaja agrasen institute of computer science maihar,,,,
11416,mata lilawati chanara devi mohit phalwan mahavidyalaya,,,,
11417,basamatti devi sankatha prasad mahila mahavidyalaya varanasi,,,,
11418,star lion college of education,,,,
11419,thiagarajar college of engineering,,,,
11420,s m s college of nursing,,,,
11421,faculty of pharmaceutical sciences,,,,
11422,dayawati college of law bhankanda,,,,
11423,directorate of archives and archaeology,,,,
11424,maa sarashwati mahila mahavidyalaya chandpur indl.estate,,,,
11425,jayamukhi college of pharmacy,,,,
11426,srushti college,,,,
11427,jawahar lal nehru p.g. college,,,,
11428,doon business school,,,,
11429,amrita school of education,,,,
11430,amrita school of business,,,,
11431,kle's shri sms's bca college athani,,,,
11432,sophitorium institute of technology & life skills,,,,
11433,shri ram memorial college of education,,,,
11434,institute of mathematics & application,,,,
11435,savita devi jaiswal college,,,,
11436,government homeophathic medical college,,,,
11437,mandla institude of paramedical technology,,,,
11438,assam university,,,,
11439,nagaji institute of technology and management,,,,
11440,padmashree institute of medical lab technology,,,,
11441,tvr college of education,,,,
11442,sri chalapati degree college,,,,
11443,muslim balika mahavidyalaya,,,,
11444,karnataka college of nursing,,,,
11445,janhit mahavidyalaya,,,,
11446,veer teja mahila mahavidyalaya,,,,
11447,vee care college of nursing,,,,
11448,learner's land college of pharamacy,,,,
11449,institute of nursing sciecne & research itm sitholi,,,,
11450,defence food research lab,,,,
11451,bhagwan mahavir education societys preetam prakash college,,,,
11452,lokmanya arts college,,,,
11453,saroj institute of technology and management,,,,
11454,d529 shri sanjeev arts and commerce college,,,,
11455,narayan institute of education and technology garh road,,,,
11456,janseva shikshan mandals college of education shivle murbad dist. thane,,,,
11457,guruvayurappan institute of management,,,,
11458,sillod education trust's nalanda college of b.c.a,,,,
11459,c472 pragati college of computer science aland,,,,
11460,sree ramkrishna sarada vidya mahapith,,,,
11461,nandha college of technology,,,,
11462,sammati college of education,,,,
11463,seedling college of information science,,,,
11464,j.a.v. college,,,,
11465,a.n. shiksha shastri mahavidyalaya,,,,
11466,vijayamahantesh lalitakala mahavidyalaya,,,,
11467,shri baburao patil college of arts and science comm angar tal.mohol dist-solapur,,,,
11468,south point school of architecture,,,,
11469,meenakshi ammal dental college,,,,
11470,shiva college of education,,,,
11471,w. c. c. m,,,,
11472,253 k.v.virani institute of pharmacy and research centre,,,,
11473,sree devi college of education,,,,
11474,a.k.g. memorial co-operative college of nursing,,,,
11475,m.d. mission college,,,,
11476,natyaveda college of performing arts,,,,
11477,pravaranagar rural education societys pravara rural engineering college,,,,
11478,rajneesh pratap singh mahavidyalaya,,,,
11479,bit extension center,,,,
11480,gyansthali vidhypeeth bhojpur,,,,
11481,dr.b.r.ambedkar degree college,,,,
11482,sridhar singh yadav mahavidyalaya,,,,
11483,rajiv gandhi smriti college,,,,
11484,aisect supela,,,,
11485,sky line college of technology,,,,
11486,anjuman engineering college,,,,
11487,ch. multan singh college of education,,,,
11488,school of petroleum technology,,,,
11489,tagore biotech college,,,,
11490,sarah tucker college,,,,
11491,mar kuriakose arts & science college,,,,
11492,hind seva mandals institute of management studies and research,,,,
11493,malwa institute of science & technology,,,,
11494,govt dr. vaman vasudev patankar girls,,,,
11495,m.s. bidwe college of engineering,,,,
11496,post graduate institute of hospital administration 211,,,,
11497,shri ramdwihal sanskrit mahavidyalaya,,,,
11498,the east kalyan welfare societys model college of science &commerce east kalyan welfare society building chinchpada road rajbhar nagar katemanivali kalyan,,,,
11499,gurukul instittute of t.t. & research,,,,
11500,babu sobharam govt. arts college,,,,
11501,maa draupadi devi kanya vidyalaya,,,,
11502,late gyaneshwarji menghre education college,,,,
11503,shri dakshinamurti sanskrit mahavidyalaya,,,,
11504,b.e. society daund's lt. k. g. kataria college of arts & science,,,,
11505,jagatguru sankaracharya college of nursing,,,,
11506,alexa college of education,,,,
11507,"""millennium college of pharmacy",,,,
11508,avvp shree annadaneshwar college,,,,
11509,chaitanya college of education,,,,
11510,radhe krishna degree college,,,,
11511,well non college of computer science-rajkot,,,,
11512,k.m.g. college of education,,,,
11513,rajeev gandhi college of management studies,,,,
11514,lokamanya tilak p.g college of information & technology,,,,
11515,saintgits college of engineering,,,,
11516,i.g. mahila mahavidyalaya,,,,
11517,nirmal memorial foundation bed college,,,,
11518,dhole patil education societys dhole patil college of engineering,,,,
11519,venketeshwar college of education,,,,
11520,vishwabharati academys college of engineering,,,,
11521,northern india engineering college,,,,
11522,malkangiri college,,,,
11523,devi ahilya vishwavidyalaya,,,,
11524,mahmoodabad college of management & tech.,,,,
11525,dr. jai parkash sharma college of nursing yamunanagar,,,,
11526,rahmaniya arabic college,,,,
11527,kaveri first grade college,,,,
11528,guru hargobind sahib college,,,,
11529,shri madhavji lall welfare & educational trusts lords college of law filka daftary road opp rly stn malad,,,,
11530,gardi arts & commerce collere-maliahatina,,,,
11531,vidya institute of computer's and commerce,,,,
11532,bangalore college of education,,,,
11533,g.n.k. college,,,,
11534,draupadi institute for education & training,,,,
11535,e-@net computers pandhurna,,,,
11536,institution of engineering and technology guwahati,,,,
11537,m s ramaiah college of pharmacy,,,,
11538,shri vrshabhendra edu.,,,,
11539,chilkur balaji institute of technology,,,,
11540,shradchandrajee pawar college of food technology,,,,
11541,suvrna educational trust,,,,
11542,lendi institute of engineering & technology,,,,
11543,radha govind college of physical education,,,,
11544,sambad school of media and culture,,,,
11545,sarveshvari mahavidyalaya kamruddinpur,,,,
11546,srajan institute of management and technology,,,,
11547,bahra institute of pharmacy,,,,
11548,anandamohan college,,,,
11549,translam institute of pharmaceutical education and research,,,,
11550,gokhale education societys inst. of nursing education for b.sc. nursing & training,,,,
11551,bharat institute of technology school of management,,,,
11552,state institute of science education,,,,
11553,vedhantha institute of technology,,,,
11554,shivalik college of pharmacy,,,,
11555,sagar mahila mahavidyalaya,,,,
11556,ranibai agnihotri institute of computer science and information technology,,,,
11557,sou.suvarnlata gandhi mahavidyalaya vairag tal.barshi dist-solapur,,,,
11558,m. g. science institute,,,,
11559,shree swaminarayana b.ed. college,,,,
11560,p.d. mahila degree college,,,,
11561,jai narsingh computer institute kareli,,,,
11562,govt. first grade college for womens chintamani-563125,,,,
11563,shardchandraji pawar college of computer & management b.c.a,,,,
11564,the achara peoples association,,,,
11565,apeejay institute of technology school of management and computer science,,,,
11566,kle commerce college,,,,
11567,pt. r.k. shukla college of law,,,,
11568,shri sanatan dharm sanskrit college,,,,
11569,community institute of commerce & management studies,,,,
11570,shikshan maharshi dnyandeo mohekar mahavidyalaya. arts,,,,
11571,chaudhary govind singh mahavidyalaya,,,,
11572,sri rengeswarer college of education,,,,
11573,slns degree college,,,,
11574,shri bankatswami arts & commerce mahavidyalaya,,,,
11575,g.s. jangid teachers training college for women,,,,
11576,achiever institute of computer science & technology,,,,
11577,arts college rajendranagar,,,,
11578,g.p.s. degree college khalilabad,,,,
11579,mahatma ratan guljar mahavidyalaya,,,,
11580,sree muthukumaraswamy college,,,,
11581,norang ram dayanand dhukia tt college,,,,
11582,g.d. memorial college of mgmt & tech,,,,
11583,laxmi bai sahuji institute of management,,,,
11584,g.r. memorial shiksha shastri mahavidyalaya,,,,
11585,msrd teachers training college,,,,
11586,churu balika mahavidyalaya,,,,
11587,mahatma gandhi university of medical sciences and technology,,,,
11588,jaglal chaudhary college,,,,
11589,software academy,,,,
11590,shine college of management,,,,
11591,baby martin girls degree college,,,,
11592,anushree homeopathy college,,,,
11593,avv degree college,,,,
11594,mnr college of teacher education,,,,
11595,s.s.b.n. degree college,,,,
